Step,Point,Position X,Position Y,Position Z,Velocity X,Velocity Y,Velocity Z
79,2,0.622751,0.170652,0.441283,1.43682,-0.183787,1.78166
79,3,-16.1686,17.6538,9.62886,-25.9144,28.1147,14.9263
80,0,16.341,-17.6696,-9.58218,25.2937,-27.5231,-15.3251
80,1,-0.290077,0.0321577,-0.375701,-1.14571,-0.513764,-0.888374
80,2,0.637069,0.168807,0.459055,1.43183,-0.184526,1.77718
80,3,-16.4278,17.935,9.77812,-25.9143,28.1147,14.9263
81,0,16.5939,-17.9448,-9.73543,25.2937,-27.5231,-15.3251
81,1,-0.301487,0.027027,-0.384542,-1.14102,-0.513073,-0.884151
81,2,0.651341,0.166955,0.476785,1.42714,-0.185218,1.77296
81,3,-16.6869,18.2161,9.92738,-25.9143,28.1147,14.9263
82,0,16.8468,-18.2201,-9.88868,25.2936,-27.5231,-15.325
82,1,-0.312853,0.0219027,-0.393344,-1.1366,-0.512425,-0.880157
82,2,0.665568,0.165096,0.494475,1.42272,-0.185867,1.76897
82,3,-16.9461,18.4973,10.0766,-25.9143,28.1147,14.9262
83,0,17.0998,-18.4953,-10.0419,25.2936,-27.523,-15.325
83,1,-0.324178,0.0167846,-0.402108,-1.13243,-0.511814,-0.876374
83,2,0.679754,0.163232,0.512126,1.41855,-0.186478,1.76518
83,3,-17.2052,18.7784,10.2259,-25.9143,28.1146,14.9262
84,0,17.3527,-18.7705,-10.1952,25.2936,-27.523,-15.325
84,1,-0.335463,0.0116722,-0.410836,-1.12849,-0.51124,-0.872784
84,2,0.6939,0.161361,0.529742,1.41461,-0.187053,1.76159
84,3,-17.4643,19.0595,10.3752,-25.9143,28.1146,14.9262
85,0,17.6057,-19.0458,-10.3484,25.2936,-27.523,-15.325
85,1,-0.34671,0.00656521,-0.419529,-1.12476,-0.510697,-0.869374
85,2,0.708009,0.159485,0.547324,1.41088,-0.187597,1.75818
85,3,-17.7235,19.3407,10.5244,-25.9142,28.1146,14.9262
86,0,17.8586,-19.321,-10.5017,25.2936,-27.523,-15.325
86,1,-0.357922,0.00146337,-0.428191,-1.12122,-0.510184,-0.866128
86,2,0.722082,0.157604,0.564874,1.40734,-0.188111,1.75494
86,3,-17.9826,19.6218,10.6737,-25.9142,28.1146,14.9262
87,0,18.1115,-19.5962,-10.6549,25.2936,-27.523,-15.325
87,1,-0.369101,-0.0036336,-0.436821,-1.11786,-0.509698,-0.863036
87,2,0.736122,0.155718,0.582392,1.40398,-0.188597,1.75184
87,3,-18.2418,19.903,10.823,-25.9142,28.1146,14.9262
88,0,18.3645,-19.8715,-10.8082,25.2935,-27.5229,-15.325
88,1,-0.380248,-0.00872597,-0.445422,-1.11466,-0.509237,-0.860087
88,2,0.75013,0.153827,0.599881,1.40078,-0.189059,1.74889
88,3,-18.5009,20.1841,10.9722,-25.9142,28.1146,14.9262
89,0,18.6174,-20.1467,-10.9614,25.2935,-27.5229,-15.325
89,1,-0.391364,-0.013814,-0.453994,-1.11161,-0.508799,-0.857269
89,2,0.764107,0.151932,0.617342,1.39773,-0.189497,1.74608
89,3,-18.76,20.4653,11.1215,-25.9142,28.1145,14.9262
90,0,18.8703,-20.4219,-11.1147,25.2935,-27.5229,-15.325
90,1,-0.402451,-0.0188978,-0.46254,-1.1087,-0.508382,-0.854575
90,2,0.778055,0.150033,0.634776,1.39483,-0.189915,1.74338
90,3,-19.0192,20.7464,11.2707,-25.9141,28.1145,14.9262
91,0,19.1233,-20.6971,-11.2679,25.2935,-27.5229,-15.3249
91,1,-0.41351,-0.0239776,-0.47106,-1.10593,-0.507985,-0.851997
91,2,0.791976,0.14813,0.652184,1.39205,-0.190312,1.7408
91,3,-19.2783,21.0276,11.42,-25.9141,28.1145,14.9261
92,0,19.3762,-20.9724,-11.4212,25.2935,-27.5229,-15.3249
92,1,-0.424543,-0.0290537,-0.479555,-1.10328,-0.507607,-0.849526
92,2,0.80587,0.146223,0.669567,1.3894,-0.190691,1.73833
92,3,-19.5375,21.3087,11.5693,-25.9141,28.1145,14.9261
93,0,19.6291,-21.2476,-11.5744,25.2935,-27.5229,-15.3249
93,1,-0.43555,-0.0341261,-0.488027,-1.10074,-0.507245,-0.847156
